,Diagnosis,Drug,Age,Ethnicity,Gender,Count
0,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,15 to 24 years,HISPANIC OR LATINO,F,2
1,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,35 to 44 years,BLACK,M,1
2,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,35 to 44 years,HISPANIC OR LATINO,F,5
3,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,35 to 44 years,WHITE,F,2
4,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,35 to 44 years,WHITE,M,12
5,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,45 to 54 years,OTHERS,F,2
6,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,45 to 54 years,OTHERS,M,5
7,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,45 to 54 years,WHITE,F,7
8,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,45 to 54 years,WHITE,M,14
9,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,55 to 64 years,BLACK,F,2
10,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,55 to 64 years,HISPANIC OR LATINO,M,1
11,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,55 to 64 years,OTHERS,F,5
12,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,55 to 64 years,OTHERS,M,6
13,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,55 to 64 years,WHITE,F,15
14,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,55 to 64 years,WHITE,M,30
15,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,65 to 74 years,ASIAN,F,2
16,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,65 to 74 years,ASIAN,M,2
17,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,65 to 74 years,HISPANIC OR LATINO,F,4
18,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,65 to 74 years,HISPANIC OR LATINO,M,2
19,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,65 to 74 years,OTHERS,F,4
20,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,65 to 74 years,OTHERS,M,3
21,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,65 to 74 years,WHITE,F,31
22,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,65 to 74 years,WHITE,M,32
23,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,75 to 84 years,BLACK,F,3
24,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,75 to 84 years,OTHERS,F,2
25,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,75 to 84 years,OTHERS,M,4
26,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,75 to 84 years,WHITE,F,19
27,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,75 to 84 years,WHITE,M,10
28,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,85 years and older,ASIAN,F,6
